Arena Name,Location,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G
Civic Centre Arena,Ottawa ON,2,2,0,0,0,4,1.000,15,2,7.50,1.00
Ericsson Globe Arena,Stockholm,2,2,0,0,0,4,1.000,9,6,4.50,3.00
Carver Arena,Peoria IL,1,1,0,0,0,2,1.000,3,1,3.00,1.00
ARCO Arena,Sacramento CA,1,1,0,0,0,2,1.000,5,2,5.00,2.00
Busch Stadium,St. Louis MO,1,1,0,0,0,2,1.000,4,1,4.00,1.00
PPG Paints Arena,Pittsburgh PA,7,6,0,0,1,13,.929,23,13,3.29,1.86
Prudential Center,Newark NJ,8,7,1,0,0,14,.875,19,14,2.38,1.75
Scotiabank Arena,Toronto ON,14,11,1,1,1,24,.857,52,36,3.71,2.57
KeyBank Center,Buffalo NY,16,11,2,2,1,25,.781,49,28,3.06,1.75
Gila River Arena,Glendale AZ,24,15,6,0,3,33,.688,85,60,3.54,2.50
BB&T Center,Sunrise FL,14,9,4,1,0,19,.679,38,32,2.71,2.29
Bell MTS Place,Winnipeg MB,14,8,3,0,3,19,.679,36,36,2.57,2.57
Cow Palace,Daly City CA,3,2,1,0,0,4,.667,9,7,3.00,2.33
T-Mobile Arena,Paradise NV,3,1,0,0,2,4,.667,9,8,3.00,2.67
SAP Center at San Jose,San Jose CA,46,27,13,1,5,60,.652,140,116,3.04,2.52
TD Garden,Boston MA,17,10,5,2,0,22,.647,46,42,2.71,2.47
Philips Arena,Atlanta GA,8,4,2,1,1,10,.625,26,23,3.25,2.88
Expo Hall,Tampa FL,4,2,1,1,0,5,.625,15,13,3.75,3.25
Miami Arena,Miami FL,4,2,1,1,0,5,.625,10,8,2.50,2.00
Enterprise Center,St. Louis MO,947,524,311,50,62,1160,.612,2774,2398,2.93,2.53
St. Louis Arena,St. Louis MO,1071,559,344,168,0,1286,.600,3911,3245,3.65,3.03
Bell Centre,Montreal QC,15,9,6,0,0,18,.600,49,40,3.27,2.67
Coliseum at Richfield,Richfield OH,5,2,1,2,0,6,.600,12,14,2.40,2.80
Stampede Corral,Calgary AB,5,3,2,0,0,6,.600,23,15,4.60,3.00
Kemper Arena,Kansas City MO,6,3,2,1,0,7,.583,17,16,2.83,2.67
PNC Arena,Raleigh NC,14,8,6,0,0,16,.571,37,34,2.64,2.43
Capital One Arena,Washington DC,15,7,5,1,2,17,.567,45,40,3.00,2.67
Canadian Tire Centre,Ottawa ON,17,9,7,0,1,19,.559,47,39,2.76,2.29
Rogers Arena,Vancouver BC,43,20,15,3,5,48,.558,125,110,2.91,2.56
Hartford Civic Center,Hartford CT,24,12,10,2,0,26,.542,78,79,3.25,3.29
Oakland-Alameda County Coliseum Arena,Oakland CA,28,10,8,10,0,30,.536,83,84,2.96,3.00
Detroit Olympia,Detroit MI,29,13,11,5,0,31,.534,80,94,2.76,3.24
STAPLES Center,Los Angeles CA,34,16,14,2,2,36,.529,91,96,2.68,2.82
Amalie Arena,Tampa FL,17,7,6,2,2,18,.529,49,47,2.88,2.76
Bridgestone Arena,Nashville TN,57,24,21,3,9,60,.526,133,139,2.33,2.44
Nationwide Arena,Columbus OH,42,20,18,2,2,44,.524,112,121,2.67,2.88
Rexall Place,Edmonton AB,64,30,27,4,3,67,.523,213,208,3.33,3.25
Scotiabank Saddledome,Calgary AB,62,28,28,2,4,62,.500,170,187,2.74,3.02
Pacific Coliseum,Vancouver BC,54,24,24,6,0,54,.500,168,168,3.11,3.11
Barclays Center,Brooklyn NY,4,1,1,0,2,4,.500,7,9,1.75,2.25
Rogers Place,Edmonton AB,4,2,2,0,0,4,.500,11,8,2.75,2.00
Thunderdome,St. Petersburg FL,2,1,1,0,0,2,.500,6,6,3.00,3.00
Little Caesars Arena,Detroit MI,2,1,1,0,0,2,.500,9,5,4.50,2.50
United Center,Chicago IL,68,24,26,7,11,66,.485,168,197,2.47,2.90
Pepsi Center,Denver CO,40,15,17,3,5,38,.475,95,124,2.38,3.10
American Airlines Center,Dallas TX,36,14,16,1,5,34,.472,90,109,2.50,3.03
America West Arena,Phoenix AZ,17,7,8,1,1,16,.471,51,49,3.00,2.88
Metropolitan Sports Center,Bloomington MN,89,32,39,18,0,82,.461,264,306,2.97,3.44
Xcel Energy Center,Saint Paul MN,38,14,17,2,5,35,.461,82,110,2.16,2.89
McNichols Sports Arena,Denver CO,25,9,11,5,0,23,.460,66,78,2.64,3.12
Honda Center,Anaheim CA,46,19,23,2,2,42,.457,127,133,2.76,2.89
Quebec Coliseum,Quebec City QC,23,9,11,3,0,21,.457,74,84,3.22,3.65
Great Western Forum,Los Angeles CA,66,25,31,10,0,60,.455,197,233,2.98,3.53
Joe Louis Arena,Detroit MI,111,41,54,12,4,98,.441,328,398,2.95,3.59
Omni Coliseum,Atlanta GA,20,7,10,3,0,17,.425,52,71,2.60,3.55
Mellon Arena,Pittsburgh PA,66,21,32,12,1,55,.417,195,244,2.95,3.70
Winnipeg Arena,Winnipeg MB,34,11,17,6,0,28,.412,105,117,3.09,3.44
Nassau Veterans Memorial Coliseum,Uniondale NY,55,17,27,11,0,45,.409,150,203,2.73,3.69
Reunion Arena,Dallas TX,21,7,11,3,0,17,.405,65,67,3.10,3.19
US Airways Arena,Landover MD,34,12,19,3,0,27,.397,101,125,2.97,3.68
Wells Fargo Center,Philadelphia PA,16,5,9,0,2,12,.375,35,48,2.19,3.00
Continental Airlines Arena,East Rutherford NJ,25,8,15,2,0,18,.360,65,79,2.60,3.16
