Rk,Franchise,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G
1,Anaheim Ducks,93,45,36,5,7,102,.548,278,257,2.99,2.76
2,Boston Bruins,137,53,66,18,0,124,.453,402,497,2.93,3.63
3,Buffalo Sabres,120,60,46,13,1,134,.558,401,358,3.34,2.98
4,Carolina Hurricanes,82,47,29,5,1,100,.610,266,235,3.24,2.87
5,Columbus Blue Jackets,85,51,28,3,3,108,.635,264,225,3.11,2.65
6,Calgary Flames,175,81,73,14,7,183,.523,542,541,3.10,3.09
7,Chicago Blackhawks,315,128,136,35,16,307,.487,961,1036,3.05,3.29
8,Cleveland Barons,65,36,14,15,0,87,.669,226,155,3.48,2.38
9,Colorado Avalanche,140,68,54,11,7,154,.550,424,416,3.03,2.97
10,Dallas Stars,291,135,107,43,6,319,.548,921,877,3.16,3.01
11,Detroit Red Wings,285,124,114,37,10,295,.518,871,906,3.06,3.18
12,Edmonton Oilers,137,68,50,11,8,155,.566,464,434,3.39,3.17
13,Florida Panthers,37,23,11,3,0,49,.662,102,75,2.76,2.03
14,Los Angeles Kings,205,105,75,22,3,235,.573,644,591,3.14,2.88
15,Minnesota Wild,74,34,27,5,8,81,.547,180,192,2.43,2.59
16,Montreal Canadiens,134,37,74,22,1,97,.362,363,494,2.71,3.69
17,New Jersey Devils,110,59,36,14,1,133,.605,379,328,3.45,2.98
18,Nashville Predators,114,56,40,4,14,130,.570,286,262,2.51,2.30
19,New York Islanders,115,41,49,20,5,107,.465,357,392,3.10,3.41
20,New York Rangers,143,46,79,16,2,110,.385,384,498,2.69,3.48
21,Ottawa Senators,37,18,13,2,4,42,.568,115,94,3.11,2.54
22,Philadelphia Flyers,153,47,85,17,4,115,.376,393,526,2.57,3.44
23,Arizona Coyotes,150,72,55,18,5,167,.557,482,421,3.21,2.81
24,Pittsburgh Penguins,147,74,52,18,3,169,.575,486,458,3.31,3.12
25,San Jose Sharks,101,57,36,2,6,122,.604,299,255,2.96,2.52
26,Tampa Bay Lightning,43,26,12,3,2,57,.663,141,114,3.28,2.65
27,Toronto Maple Leafs,219,101,90,25,3,230,.525,704,694,3.21,3.17
28,Vancouver Canucks,191,98,65,18,10,224,.586,626,539,3.28,2.82
29,Vegas Golden Knights,6,4,0,0,2,10,.833,19,13,3.17,2.17
30,Winnipeg Jets,42,22,12,1,7,52,.619,114,115,2.71,2.74
31,Washington Capitals,99,43,42,12,2,100,.505,336,325,3.39,3.28
